label,centroid-0,centroid-1,centroid-2,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5,area,major_axis_length,minor_axis_length,area_bbox,extent,area_filled,area_convex,euler_number,intensity_max-0,intensity_max-1,intensity_mean-0,intensity_mean-1,intensity_min-0,intensity_min-1,inertia_tensor_eigvals-0,inertia_tensor_eigvals-1,inertia_tensor_eigvals-2,solidity,well_area
20,96.62401013620526,4081.707633829585,3154.543554006969,93,4065,3136,101,4098,3178,3157,41.91143990600298,7.020654389716931,11088,0.2847222222222222,3160,5382,-2,738.0,292.0,362.7108013937282,180.90085524231867,142.0,127.0,121.49089195602689,90.29291915271753,36.126931609294516,0.5865849126718692,18064950
21,97.90094474663613,4176.377135222827,1479.5073957438688,94,4151,1448,101,4205,1511,10479,62.49091723584526,6.720064464854307,23814,0.4400352733686067,10481,13864,-8,1134.0,210.0,504.7634316251551,173.13045137894838,195.0,138.0,330.00197742530656,197.513700169453,137.00420389703334,0.7558424697057127,18064950
22,63.042722335790536,1617.7782939973984,299.8167833323009,55,1576,224,72,1670,364,48429,130.65568976182732,12.869186243699568,223720,0.21647148220990522,48429,95172,-9,4651.0,551.0,826.0731173470441,188.71690516013132,131.0,139.0,1216.643534151833,861.8262610856947,371.37886852364085,0.5088576472071618,18064950
23,73.36960550701615,1332.393698702674,3635.4138204924543,70,1304,3621,77,1361,3654,3777,49.66122533493657,6.188251491778944,13167,0.2868534973798132,3777,6730,1,1247.0,228.0,644.7111464124966,189.56341011384697,340.0,145.0,168.0147977751606,125.22658791464248,46.61765551306854,0.5612184249628529,18064950
24,99.43731587561375,4263.695253682487,943.8504091653028,97,4242,918,101,4290,971,3055,54.678181281088015,3.0379817724426257,10176,0.30021619496855345,3055,5161,0,1007.0,606.0,318.58396072013096,248.3214402618658,187.0,153.0,255.63073109761984,149.94664207286087,106.60702234972834,0.5919395465994962,18064950
25,96.57237268726114,932.9547455124932,4072.537410836242,89,844,3975,101,1038,4160,72479,173.67213014793407,10.696400120891967,430680,0.16828968143401132,72489,165336,-76,3650.0,1392.0,511.0012141447868,224.40226824321527,97.0,100.0,2767.927056004315,1513.8210882833584,1265.5472652755784,0.4383739778390671,18064950
26,95.39174124666353,371.6687078034228,3238.8257183231276,93,342,3213,99,401,3263,6369,63.14759006697759,5.647673965029328,17700,0.35983050847457626,6369,10434,-6,1387.0,196.0,636.825561312608,159.32155754435547,333.0,123.0,315.53741164193207,200.97571762411584,117.75131613934323,0.6104082806210466,18064950
27,37.92988313856427,2663.4445504412115,2419.2815406630098,34,2636,2396,43,2690,2444,8386,56.49288200332914,7.81626445071778,23328,0.35948216735253774,8386,11859,-7,1857.0,234.0,748.3430717863105,187.08955401860243,348.0,150.0,251.0571261320719,162.62698535028122,94.53953977814612,0.7071422548275571,18064950
28,54.888536701843755,1243.0937561450658,897.9354498890377,40,1163,797,65,1347,1046,213586,292.8942918065021,19.38163021281609,1145400,0.1864728479133927,213715,475260,-78,8386.0,2142.0,586.6516063786952,237.47429138613956,135.0,115.0,5028.833409817709,4308.135688126938,758.2624806614062,0.4494087446871186,18064950
29,78.79991412623444,340.88681837698584,2444.167625590382,73,317,2415,85,379,2472,11645,62.225515284301935,8.260196403081611,42408,0.27459441614789665,11645,18516,-8,6729.0,239.0,1000.8321167883212,179.82756547874624,335.0,137.0,348.4803788839879,197.01227985071878,158.29118349501735,0.6289155325124217,18064950
30,36.113877249198914,2736.9844712842,2311.1589844712844,34,2718,2292,40,2756,2330,4057,41.2838643901796,5.349124586306971,8664,0.4682594644506002,4057,5135,0,1914.0,221.0,786.6036480157752,175.8789746117821,369.0,138.0,150.0714052793656,86.64852964132865,66.28418902202031,0.7900681596884128,18064950
31,98.94667254297048,4247.263992948436,1439.0703687380637,94,4203,1402,101,4283,1476,6807,69.32318822183251,4.839546692220449,41440,0.164261583011583,6807,20778,-80,547.0,224.0,301.1229616571177,184.1373586014397,190.0,145.0,437.55253865310124,241.45628187128995,198.43837800042948,0.32760612185965926,18064950
32,92.13100871731008,1182.7713574097136,160.46251556662514,89,1162,141,97,1213,180,4015,54.08857264695253,6.149577617960852,15912,0.25232528908999496,4015,7368,1,1132.0,187.0,716.0719800747198,141.91780821917808,387.0,104.0,217.82552432255653,148.16954979319934,73.4377050172897,0.5449239956568946,18064950
33,74.03230240549829,1932.3062666512221,304.97179813892427,62,1854,205,89,2027,379,129495,206.34346068387987,18.828421176721875,812754,0.1593286529503392,129566,284589,-37,4083.0,2382.0,380.78641646395613,293.39471794277773,110.0,129.0,2694.5210573988393,2146.606660550395,583.365341249247,0.4550246144439876,18064950
34,61.453718073493434,2603.6485256595734,756.3305363390062,53,2562,720,72,2639,790,38017,74.08804795078288,15.741505105043158,102410,0.3712235133287765,38017,49252,0,3421.0,2951.0,501.6021779730121,360.42136412657493,129.0,153.0,502.07543477378715,286.8416916064801,240.01324146451705,0.7718874360432064,18064950
35,31.842074074074073,1823.1602962962963,2112.205925925926,29,1807,2094,36,1849,2136,3375,41.46508132665449,5.489278443177923,12348,0.27332361516034986,3375,5561,1,183.0,655.0,127.32118518518519,394.16118518518516,80.0,251.0,140.25960938026805,87.47425736264046,55.79856980030137,0.6069052328717857,18064950
36,63.70014261052316,761.4060647001426,3291.6292126397957,58,728,3261,69,792,3324,13323,70.73045609864488,8.165790109769517,44352,0.30039231601731603,13323,19857,1,2622.0,290.0,745.8898146063199,182.0899947459281,228.0,142.0,372.1362758235267,253.47387740195697,125.33041123325071,0.670947273001964,18064950
37,76.91147014691,2474.352165265031,3905.0679764106503,71,2433,3871,84,2520,3945,28657,85.84890132113283,10.9902425718358,83694,0.34240208378139414,28664,43781,-13,3359.0,225.0,863.1585650975329,177.9302090239732,384.0,132.0,606.8614482996453,374.5409644916697,244.39902698675482,0.6545533450583586,18064950
38,32.34868096037941,1873.1341764647761,2732.3402825807725,29,1841,2699,37,1903,2769,10121,74.35317595001669,7.215284946538349,34720,0.29150345622119817,10121,18725,1,1992.0,220.0,759.7802588677008,181.13595494516352,330.0,140.0,437.33753844240687,279.0227555356942,163.52081659268694,0.5405073431241656,18064950
39,70.53723316233659,3964.552540129075,1640.8321198080423,66,3926,1612,77,3992,1675,12086,62.96716876547164,8.962805269613169,45738,0.26424417333508243,12090,19632,-7,2618.0,477.0,724.7785867946384,201.33054774118816,190.0,145.0,348.3257239060241,202.25981103201963,154.09910070410504,0.6156275468622657,18064950
40,34.502335496410545,2239.3183171886267,1775.2425781372456,29,2196,1732,41,2283,1812,31899,92.25740287062148,10.190299615666326,83520,0.3819324712643678,31908,43567,-3,3280.0,303.0,803.20608796514,183.29414715194832,278.0,137.0,679.3769769201704,430.7635295344602,258.9976680114151,0.732182615282209,18064950
41,97.44574483456148,4303.438375957232,2040.6156624765208,93,4244,2007,101,4351,2098,13842,133.2980506415512,7.96256526039798,77896,0.1776984697545445,13847,34336,-17,8616.0,268.0,1141.4909695130762,141.0299812165872,285.0,98.0,1084.4629519497726,891.5886375181824,199.21455898419984,0.4031337371854613,18064950
